Date,USD_CAD,SH_Com,WTI_Oil,S&P_Financial,S&P_Industrial,S&P_Info&Tech,US_Gov,CAN_Gov
2008-09-23,0.0013,-0.0156,-0.1183,-0.0104,-0.0251,-0.0084,-0.0107,-0.0008
2008-09-24,0.0013,0.0069,-0.0083,0.0022,-0.0134,0.0073,0.0018,0.0055
2008-09-25,-0.005,0.0364,0.0217,-0.0099,0.0142,0.0198,0.011,0.0049
2008-09-26,-0.0001,-0.0016,-0.0105,-0.0026,-0.0021,0.0022,0.001,-0.0016
2008-10-06,0.0183,-0.0523,-0.0647,0.0049,-0.0232,-0.0402,-0.0391,-0.0416
2008-10-07,0.0015,-0.0073,0.0256,0.0029,-0.0425,-0.0606,0.0127,0.0224
2008-10-08,0.022,-0.0304,-0.0123,0.0019,-0.0044,-0.0081,0.0405,0.0214
2008-10-09,0.0161,-0.0084,-0.0265,0.0086,-0.0659,-0.0343,0.0376,0.0123
2008-10-10,0.0231,-0.0357,-0.1027,0.0015,0.0176,-0.0079,0.024,0.0452
2008-10-13,-0.023,0.0365,0.0449,-0.0062,0.0728,0.1214,0.0539,0.0452
2008-10-14,0.0134,-0.0271,-0.0315,0.0151,-0.015,-0.039,-0.001,0.0079
2008-10-15,0.0249,-0.0112,-0.052,-0.0031,-0.088,-0.0768,-0.0309,-0.0209
2008-10-16,-0.0123,-0.0425,-0.0629,-0.0009,0.043,0.0481,0.0035,0.0051
2008-10-17,0.0056,0.0108,0.0286,0.0198,-0.0201,-0.0025,-0.0078,-0.0098
2008-10-20,0.0066,0.0225,0.0334,-0.0084,0.0357,0.0329,-0.0196,-0.0032
2008-10-21,0.0198,-0.0078,-0.0453,0.0056,-0.0227,-0.0555,-0.0321,-0.0067
2008-10-22,0.0334,-0.032,-0.0584,0.0042,-0.054,-0.0453,-0.0372,-0.0255
2008-10-23,-0.0077,-0.0107,0.0163,-0.0016,0.0047,0.0011,0.0222,0.012
2008-10-24,0.0263,-0.0192,-0.0544,0.007,-0.0422,-0.0262,0.0011,0.0005
2008-10-27,0.0146,-0.0632,-0.0145,0.0012,-0.0249,-0.0248,0.003,-0.0066
2008-10-28,-0.0188,0.0281,-0.0078,0.007,0.0998,0.1113,0.0417,0.0207
2008-10-29,-0.037,-0.0294,0.076,0.0023,-0.0001,-0.0133,0.0029,0.0152
2008-10-30,-0.0189,0.0255,-0.0228,-0.0164,0.0293,0.0225,0.0295,-0.0077
2008-10-31,0.0091,-0.0197,0.028,-0.0039,0.0186,0.0009,-0.0005,0.01
2008-11-03,-0.0253,-0.0052,-0.0575,0.0052,-0.0045,-0.0062,-0.0146,0.0131
